name-pr,version,name,loc,bug
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.TestWALReplay,231,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.JVMClusterUtil,5,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZooKeeperNodeTracker,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestClassLoading,108,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.TableEventHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestLogsCleaner,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TimeToLiveLogCleaner,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestHCM,17,no
hadoop,0.92RC0,org.apache.hadoop.hbase.HBaseConfiguration,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.HFilePrettyPrinter,57,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.HMaster,880,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.HFilePrettyPrinter,58,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestHTablePool,94,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.FSUtils,545,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.SlabItemEvictionWatcher,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.SlabCache,165,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.io.TestHbaseObjectWritable,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestHBaseFsck,76,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.MasterFileSystem,178,no
hadoop,0.92RC0,org.apache.hadoop.hbase.avro.TestAvroServer,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.ipc.ResponseFlag,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestScanDeleteTracker,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestScanDeleteTracker,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.SplitTransaction,394,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HConnectionManager,1209,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,1033,no
hadoop,0.92RC0,org.apache.hadoop.hbase.KeyValue,960,no
